name,country,role,number,goals,passes,games,minutes,g+p,penalties,doubles,hattrick,autogoals,yellow,doubleYellow,red,fairPlay
Бреннан Джонсон,Уэльс,нападающий,9,0,0,3,88,0,0,0,0,0,0,0,0,0
Гидеон Менса,Гана,защитник,14,0,1,1,88,1,0,0,0,0,0,0,0,0
Бенжамен Павар,Франция,защитник,2,0,0,1,89,0,0,0,0,0,0,0,0,0
Яссер аль-Шахрани,Саудовская Аравия,защитник,13,0,0,1,89,0,0,0,0,0,0,0,0,0
Брандон Агилера,Коста-Рика,полузащитник,20,0,0,3,89,0,0,0,0,0,0,0,0,0
Дани Алвес,Бразилия,защитник,13,0,0,1,90,0,0,0,0,0,0,0,0,0
Эдуардо Камавинга,Франция,полузащитник,25,0,0,1,90,0,0,0,0,0,0,0,0,0
Диогу Далот,Португалия,защитник,2,0,1,1,90,1,0,0,0,0,0,0,0,0
Фабиньо,Бразилия,полузащитник,15,0,0,1,90,0,0,0,0,0,0,0,0,0
Данилу Перейра,Португалия,полузащитник,13,0,0,1,90,0,0,0,0,0,1,0,0,1
Леандро Паредес,Аргентина,полузащитник,5,0,0,2,90,0,0,0,0,0,0,0,0,0
Данило,Бразилия,защитник,2,0,0,1,90,0,0,0,0,0,0,0,0,0
Фабиан Шер,Швейцария,защитник,22,0,0,1,90,0,0,0,0,0,1,0,0,1
Рандаль Коло-Муани,Франция,нападающий,12,0,0,1,90,0,0,0,0,0,0,0,0,0
Пау Торрес,Испания,защитник,4,0,0,1,90,0,0,0,0,0,0,0,0,0
Глейсон Бремер,Бразилия,защитник,24,0,0,1,90,0,0,0,0,0,0,0,0,0
Мартин Касерес,Уругвай,защитник,22,0,0,1,90,0,0,0,0,0,1,0,0,1
Антониу Силва,Португалия,защитник,24,0,0,1,90,0,0,0,0,0,0,0,0,0
Нестор Араухо,Мексика,защитник,2,0,0,1,90,0,0,0,0,0,1,0,0,1
Виктор Нельссон,Дания,защитник,3,0,0,1,90,0,0,0,0,0,0,0,0,0
Садег Мохарамми,Иран,защитник,2,0,0,1,90,0,0,0,0,0,0,0,0,0
Камерон Картер-Викерс,США,защитник,20,0,0,1,90,0,0,0,0,0,0,0,0,0
Бассам Хишам,Катар,защитник,15,0,0,1,90,0,0,0,0,0,0,0,0,0
Али Малул,Тунис,защитник,12,0,0,1,90,0,0,0,0,0,0,0,0,0
Энцо Эбосс,Камерун,защитник,24,0,0,1,90,0,0,0,0,0,0,0,0,0
Кристофер Ву,Камерун,защитник,4,0,0,1,90,0,0,0,0,0,0,0,0,0
Хуан Варгас,Коста-Рика,защитник,3,0,0,1,90,0,0,0,0,0,0,0,0,0
Надер Гандри,Тунис,полузащитник,5,0,0,1,90,0,0,0,0,0,0,0,0,0
Маттейс де Лигт,Нидерланды,защитник,3,0,0,2,91,0,0,0,0,0,1,0,0,1
Андреас Корнелиус,Дания,нападающий,21,0,0,3,91,0,0,0,0,0,1,0,0,1
Аксель Дисаси,Франция,защитник,3,0,0,2,91,0,0,0,0,0,0,0,0,0
Квон Кьюн Вон,Южная Корея,защитник,20,0,0,2,91,0,0,0,0,0,0,0,0,0
Габриэль Жезус,Бразилия,нападающий,18,0,0,3,92,0,0,0,0,0,0,0,0,0
Такефуса Кубо,Япония,полузащитник,11,0,0,2,92,0,0,0,0,0,0,0,0,0
Неманья Гудель,Сербия,полузащитник,8,0,0,2,92,0,0,0,0,0,2,0,0,2
Габриел Мартинелли,Бразилия,нападающий,26,0,0,2,93,0,0,0,0,0,0,0,0,0
Нико Шлоттербек,Германия,защитник,23,0,0,2,93,0,0,0,0,0,0,0,0,0
Фран Карачич,Австралия,защитник,5,0,0,2,93,0,0,0,0,0,0,0,0,0
Юри Тилеманс,Бельгия,полузащитник,8,0,0,3,94,0,0,0,0,0,0,0,0,0
Джо Аллен,Уэльс,полузащитник,7,0,0,2,94,0,0,0,0,0,0,0,0,0
Хван Ый Джо,Южная Корея,нападающий,16,0,0,3,94,0,0,0,0,0,0,0,0,0
Сэм Адекугбе,Канада,защитник,3,0,0,3,94,0,0,0,0,0,1,0,0,1
Муми Нгамалё,Камерун,полузащитник,6,0,0,2,95,0,0,0,0,0,0,0,0,0
Джексон Поросо,Эквадор,защитник,25,0,0,2,95,0,0,0,0,0,0,0,0,0
Абдельхамид Сабири,Марокко,полузащитник,11,0,1,3,96,1,0,0,0,0,1,0,0,1
Александр Джику,Гана,защитник,23,0,0,2,96,0,0,0,0,0,0,0,0,0
Али Карими,Иран,полузащитник,18,0,0,3,98,0,0,0,0,0,0,0,0,0
Самуэль Гуэ,Камерун,полузащитник,14,0,0,2,99,0,0,0,0,0,0,0,0,0
Аркадиуш Милик,Польша,нападающий,7,0,0,3,100,0,0,0,0,0,1,0,0,1
Леандро Троссард,Бельгия,нападающий,17,0,0,3,102,0,0,0,0,0,0,0,0,0
Алехандро Бальде,Испания,защитник,14,0,0,3,102,0,0,0,0,0,0,0,0,0
Нико Уильямс,Испания,нападающий,12,0,0,3,102,0,0,0,0,0,0,0,0,0
Тарик Лэмпти,Гана,защитник,2,0,0,2,102,0,0,0,0,0,1,0,0,1
Джевисон Беннетте,Коста-Рика,нападающий,9,0,0,3,102,0,0,0,0,0,0,0,0,0
Мартин Брэйтуэйт,Дания,нападающий,9,0,0,2,103,0,0,0,0,0,0,0,0,0
Амаду Онана,Бельгия,полузащитник,18,0,0,2,104,0,0,0,0,0,2,0,0,2
Папе Абу Сиссе,Сенегал,защитник,4,0,0,3,104,0,0,0,0,0,0,0,0,0
Бренден Эронсон,США,полузащитник,11,0,0,4,104,0,0,0,0,0,0,0,0,0
Кингсли Коман,Франция,нападающий,20,0,0,4,105,0,0,0,0,0,0,0,0,0
Антони,Бразилия,нападающий,19,0,0,3,106,0,0,0,0,0,0,0,0,0
Торган Азар,Бельгия,полузащитник,16,0,0,2,106,0,0,0,0,0,0,0,0,0
Исмаэль Коне,Канада,полузащитник,15,0,0,3,106,0,0,0,0,0,0,0,0,0
Алехандро Гомес,Аргентина,полузащитник,17,0,0,2,109,0,0,0,0,0,0,0,0,0
Важди Кехрида,Тунис,полузащитник,21,0,0,3,109,0,0,0,0,0,1,0,0,1
Лерой Сане,Германия,нападающий,19,0,1,2,110,1,0,0,0,0,0,0,0,0
Юссуф Фофана,Франция,полузащитник,13,0,0,4,111,0,0,0,0,0,0,0,0,0
Киану Баккус,Австралия,полузащитник,26,0,0,4,112,0,0,0,0,0,0,0,0,0
Родриго,Бразилия,нападающий,21,0,1,3,113,1,0,0,0,0,0,0,0,0
Каспер Долберг,Дания,нападающий,12,0,0,3,113,0,0,0,0,0,0,0,0,0
Наим Слити,Тунис,полузащитник,23,0,0,2,113,0,0,0,0,0,0,0,0,0
Янник Карраско,Бельгия,полузащитник,11,0,0,2,118,0,0,0,0,0,1,0,0,1
Бруно Петкович,Хорватия,нападающий,16,0,0,3,118,0,0,0,0,0,0,0,0,0
Джонатан Осорио,Канада,полузащитник,21,0,0,3,118,0,0,0,0,0,1,0,0,1
Санг-Хо На,Южная Корея,нападающий,17,0,0,2,119,0,0,0,0,0,0,0,0,0
Хироки Сакаи,Япония,защитник,19,0,0,2,119,0,0,0,0,0,0,0,0,0
Николас Тальяфико,Аргентина,защитник,3,0,0,3,120,0,0,0,0,0,0,0,0,0
Борна Баришич,Хорватия,защитник,3,0,0,1,120,0,0,0,0,0,1,0,0,1
Неманья Максимович,Сербия,полузащитник,6,0,0,3,120,0,0,0,0,0,0,0,0,0
Лукас Пакета,Бразилия,полузащитник,7,0,0,2,121,0,0,0,0,0,0,0,0,0
Эдинсон Кавани,Уругвай,нападающий,21,0,0,3,123,0,0,0,0,0,1,0,0,1
Мартин Онгла,Камерун,полузащитник,18,0,0,2,123,0,0,0,0,0,0,0,0,0
Стивен Бергёйс,Нидерланды,нападающий,11,0,0,3,124,0,0,0,0,0,0,0,0,0
Вильям Карвалью,Португалия,полузащитник,14,0,0,3,124,0,0,0,0,0,0,0,0,0
Эден Азар,Бельгия,нападающий,10,0,0,3,125,0,0,0,0,0,0,0,0,0
Султан аль-Ганам,Саудовская Аравия,защитник,2,0,0,3,125,0,0,0,0,0,0,0,0,0
Марио Пашалич,Хорватия,полузащитник,15,0,0,4,126,0,0,0,0,0,0,0,0,0
Сердар Азмун,Иран,нападающий,20,0,0,3,127,0,0,0,0,0,0,0,0,0
Стивен Эуштакиу,Канада,полузащитник,7,0,0,2,127,0,0,0,0,0,0,0,0,0
Энтони Контрерас,Коста-Рика,нападающий,7,0,0,3,127,0,0,0,0,0,1,0,0,1
Фред,Бразилия,полузащитник,8,0,0,3,128,0,0,0,0,0,1,0,0,1
Ли Кан Ин,Южная Корея,полузащитник,18,0,1,3,129,1,0,0,0,0,1,0,0,1
Пьер Кунде,Камерун,полузащитник,15,0,0,2,133,0,0,0,0,0,1,0,0,1
Даниэль Карвахаль,Испания,защитник,20,0,0,2,134,0,0,0,0,0,0,0,0,0
Андрес Сков Ольсен,Дания,нападающий,11,0,0,2,134,0,0,0,0,0,0,0,0,0
Мохамед Дрэгер,Тунис,защитник,20,0,0,2,134,0,0,0,0,0,0,0,0,0
Себастьян Шиманьский,Польша,полузащитник,19,0,0,2,136,0,0,0,0,0,0,0,0,0
Сесар Аспиликуэта,Испания,защитник,2,0,1,2,136,1,0,0,0,0,0,0,0,0
Ллиман Ндиайе,Сенегал,полузащитник,13,0,1,3,136,1,0,0,0,0,0,0,0,0
Джордан Айю,Гана,нападающий,9,0,1,3,137,1,0,0,0,0,0,0,0,0
Кайл Ларин,Канада,нападающий,17,0,0,3,138,0,0,0,0,0,0,0,0,0
Рафаэл Геррейру,Португалия,защитник,5,0,1,2,138,1,0,0,0,0,0,0,0,0
Ли Джэ Сон,Южная Корея,полузащитник,10,0,0,2,140,0,0,0,0,0,0,0,0,0
Мартен де Рон,Нидерланды,полузащитник,15,0,0,4,140,0,0,0,0,0,0,0,0,0
Тёйн Копмейнерс,Нидерланды,полузащитник,20,0,0,4,142,0,0,0,0,0,1,0,0,1
Луис Суарес,Уругвай,нападающий,9,0,1,3,147,1,0,0,0,0,1,0,0,1
Кайл Уокер,Англия,защитник,2,0,0,2,147,0,0,0,0,0,0,0,0,0
Пате Сисс,Сенегал,полузащитник,11,0,0,3,147,0,0,0,0,0,1,0,0,1
Миккель Дамсгор,Дания,полузащитник,14,0,0,3,149,0,0,0,0,0,0,0,0,0
Анис Слиман,Тунис,полузащитник,25,0,0,2,150,0,0,0,0,0,0,0,0,0
Пап Гуйе,Сенегал,полузащитник,26,0,0,3,151,0,0,0,0,0,0,0,0,0
Диего Годин,Уругвай,защитник,3,0,0,2,152,0,0,0,0,0,0,0,0,0
Ассим Мадибо,Катар,полузащитник,23,0,0,2,154,0,0,0,0,0,1,0,0,1
Даниэль Джеймс,Уэльс,нападающий,20,0,0,3,155,0,0,0,0,0,1,0,0,1
Алиду Сейду,Гана,защитник,26,0,0,2,156,0,0,0,0,0,2,0,0,2
Джош Сарджент,США,нападающий,24,0,0,3,158,0,0,0,0,0,0,0,0,0
Леон Горецка,Германия,полузащитник,8,0,0,3,159,0,0,0,0,0,1,0,0,1
Атиба Хатчинсон,Канада,полузащитник,13,0,0,3,160,0,0,0,0,0,0,0,0,0
Харри Уилсон,Уэльс,полузащитник,8,0,0,3,160,0,0,0,0,0,0,0,0,0
Лисандро Мартинес,Аргентина,защитник,25,0,0,3,161,0,0,0,0,0,0,0,0,0
Эктор Эррера,Мексика,полузащитник,16,0,0,2,161,0,0,0,0,0,1,0,0,1
Каору Митома,Япония,полузащитник,9,0,1,4,161,1,0,0,0,0,0,0,0,0
Ричи Ларея,Канада,защитник,22,0,0,3,161,0,0,0,0,0,0,0,0,0
Леандер Дендонкер,Бельгия,защитник,19,0,0,2,162,0,0,0,0,0,1,0,0,1
Джуниор Хойлетт,Канада,нападающий,10,0,0,3,162,0,0,0,0,0,1,0,0,1
Дилан Бронн,Тунис,защитник,6,0,0,2,163,0,0,0,0,0,0,0,0,0
Винисиус Жуниор,Бразилия,нападающий,20,0,1,2,166,1,0,0,0,0,0,0,0,0
Карл Токо-Экамби,Камерун,нападающий,12,0,0,3,167,0,0,0,0,0,0,0,0,0
Жорди Альба,Испания,защитник,18,0,2,3,168,2,0,0,0,0,0,0,0,0
Стевен Бергвейн,Нидерланды,нападающий,7,0,0,3,169,0,0,0,0,0,0,0,0,0
Юссеф Мсакни,Тунис,нападающий,7,0,0,2,170,0,0,0,0,0,0,0,0,0
Рафинья,Бразилия,нападающий,11,0,0,3,171,0,0,0,0,0,0,0,0,0
Мейсон Маунт,Англия,полузащитник,19,0,0,3,174,0,0,0,0,0,0,0,0,0
Абдулеллах аль-Малки,Саудовская Аравия,полузащитник,8,0,0,2,175,0,0,0,0,0,2,0,0,2
Исмаил Мохаммад,Катар,полузащитник,17,0,1,2,175,1,0,0,0,0,1,0,0,1
Алекс Сандро,Бразилия,защитник,6,0,0,2,176,0,0,0,0,0,0,0,0,0
Эдсон Альварес,Мексика,полузащитник,4,0,0,2,176,0,0,0,0,0,1,0,0,1
Хорхе Санчес,Мексика,защитник,19,0,0,2,176,0,0,0,0,0,1,0,0,1
Филип Костич,Сербия,полузащитник,17,0,0,2,179,0,0,0,0,0,0,0,0,0
Ким Мин Джэ,Южная Корея,защитник,4,0,0,2,179,0,0,0,0,0,0,0,0,0
Жюль Кунде,Франция,защитник,5,0,0,3,180,0,0,0,0,0,1,0,0,1
Пепе,Португалия,защитник,3,0,0,2,180,0,0,0,0,0,0,0,0,0
Эдер Милитао,Бразилия,защитник,14,0,0,2,180,0,0,0,0,0,1,0,0,1
Тиаго Силва,Бразилия,защитник,3,0,0,2,180,0,0,0,0,0,0,0,0,0
Рубен Диаш,Португалия,защитник,4,0,0,2,180,0,0,0,0,0,1,0,0,1
Эмерик Ляпорт,Испания,защитник,24,0,0,2,180,0,0,0,0,0,0,0,0,0
Николя Н’Кулу,Камерун,защитник,3,0,1,2,180,1,0,0,0,0,1,0,0,1
Нико Эльведи,Швейцария,защитник,4,0,0,2,180,0,0,0,0,0,1,0,0,1
Себастьян Коатес,Уругвай,защитник,19,0,0,2,180,0,0,0,0,0,1,0,0,1
Франсиско Кальво,Коста-Рика,защитник,15,0,0,2,180,0,0,0,0,0,2,0,0,2
Себастьян Джегсон Мендес,Эквадор,полузащитник,20,0,0,2,180,0,0,0,0,0,2,0,0,2
Хассан аль-Тамбакти,Саудовская Аравия,защитник,17,0,0,2,180,0,0,0,0,0,1,0,0,1
Абдулела Аль-Амри,Саудовская Аравия,защитник,4,0,0,3,181,0,0,0,0,0,2,0,0,2
Баба Рахман,Гана,защитник,17,0,0,3,182,0,0,0,0,0,0,0,0,0
Факундо Пельистри,Уругвай,полузащитник,8,0,0,3,182,0,0,0,0,0,0,0,0,0
Гильермо Варела,Уругвай,защитник,13,0,0,3,182,0,0,0,0,0,0,0,0,0
Селим Амалла,Марокко,полузащитник,15,0,0,3,182,0,0,0,0,0,0,0,0,0
Милош Дегенек,Австралия,защитник,2,0,0,4,182,0,0,0,0,0,2,0,0,2
Лаутаро Мартинес,Аргентина,нападающий,22,0,0,4,183,0,0,0,0,0,0,0,0,0
Иссам Джебали,Тунис,нападающий,9,0,0,3,183,0,0,0,0,0,0,0,0,0
Крепин Диатта,Сенегал,нападающий,15,0,0,3,184,0,0,0,0,0,0,0,0,0
Такэхиро Томиясу,Япония,защитник,16,0,0,3,185,0,0,0,0,0,0,0,0,0
Карим Будиаф,Катар,полузащитник,12,0,0,3,185,0,0,0,0,0,1,0,0,1
Бернарду Силва,Португалия,полузащитник,10,0,0,3,186,0,0,0,0,0,0,0,0,0
Али Абди,Тунис,защитник,24,0,0,3,187,0,0,0,0,0,1,0,0,1
Джонатан Дэвид,Канада,нападающий,20,0,0,3,192,0,0,0,0,0,0,0,0,0
Ибраима Конате,Франция,защитник,24,0,0,3,195,0,0,0,0,0,0,0,0,0
Алексис Вега,Мексика,нападающий,10,0,0,3,196,0,0,0,0,0,0,0,0,0
Матиас Весино,Уругвай,полузащитник,5,0,0,3,196,0,0,0,0,0,0,0,0,0
Абдулазиз Хатем,Катар,полузащитник,6,0,0,3,196,0,0,0,0,0,0,0,0,0
Милад Мохаммади,Иран,защитник,5,0,0,3,198,0,0,0,0,0,0,0,0,0
Йеспер Линдстрём,Дания,полузащитник,25,0,0,3,200,0,0,0,0,0,0,0,0,0
Коннор Робертс,Уэльс,защитник,14,0,0,3,200,0,0,0,0,0,0,0,0,0
Али Голизадех,Иран,полузащитник,17,0,1,3,200,1,0,0,0,0,0,0,0,0
Томас Мюллер,Германия,нападающий,13,0,0,3,204,0,0,0,0,0,0,0,0,0
Софиан Буфаль,Марокко,нападающий,17,0,0,3,204,0,0,0,0,0,0,0,0,0
Киран Триппьер,Англия,защитник,12,0,0,3,205,0,0,0,0,0,0,0,0,0
Неко Уильямс,Уэльс,защитник,3,0,0,3,206,0,0,0,0,0,0,0,0,0
Хассан Аль-Хаидос,Катар,нападающий,10,0,0,3,209,0,0,0,0,0,0,0,0,0
Сёго Танигути,Япония,защитник,3,0,0,2,210,0,0,0,0,0,1,0,0,1
Рубен Невеш,Португалия,полузащитник,18,0,0,3,211,0,0,0,0,0,1,0,0,1
Тома Мёнье,Бельгия,защитник,15,0,0,3,212,0,0,0,0,0,1,0,0,1
Андрия Живкович,Сербия,нападающий,14,0,2,3,213,2,0,0,0,0,0,0,0,0
Юто Нагатомо,Япония,защитник,5,0,0,4,213,0,0,0,0,0,0,0,0,0
Родриго Бентанкур,Уругвай,полузащитник,6,0,0,3,214,0,0,0,0,0,1,0,0,1
Джибриль Соу,Швейцария,полузащитник,15,0,1,3,214,1,0,0,0,0,0,0,0,0
Маркиньос,Бразилия,защитник,4,0,0,3,215,0,0,0,0,0,0,0,0,0
Крыстян Белик,Польша,полузащитник,6,0,0,4,215,0,0,0,0,0,0,0,0,0
Саид Эззатоллахи,Иран,полузащитник,6,0,0,3,217,0,0,0,0,0,0,0,0,0
Али аль-Булаихи,Саудовская Аравия,защитник,5,0,0,3,217,0,0,0,0,0,1,0,0,1
Анхель Ди Мария,Аргентина,полузащитник,11,0,1,3,218,1,0,0,0,0,0,0,0,0
Рубен Варгас,Швейцария,полузащитник,17,0,1,3,223,1,0,0,0,0,1,0,0,1
Милош Велькович,Сербия,защитник,5,0,0,3,223,0,0,0,0,0,0,0,0,0
Киффер Мур,Уэльс,нападающий,13,0,0,3,224,0,0,0,0,0,0,0,0,0
Кендалл Уостон,Коста-Рика,защитник,19,0,0,3,224,0,0,0,0,0,0,0,0,0
Расмус Кристенсен,Дания,защитник,13,0,0,3,225,0,0,0,0,0,1,0,0,1
Алмоез Али,Катар,нападающий,19,0,0,3,226,0,0,0,0,0,1,0,0,1
Ахмад Нуроллахи,Иран,полузащитник,21,0,0,3,226,0,0,0,0,0,0,0,0,0
Микаэль Эстрада,Эквадор,нападающий,11,0,0,3,227,0,0,0,0,0,0,0,0,0
Рафаэль Варан,Франция,защитник,4,0,0,3,228,0,0,0,0,0,0,0,0,0
Якуб Каминьский,Польша,полузащитник,13,0,0,4,232,0,0,0,0,0,0,0,0,0
Брайан Мбеумо,Камерун,нападающий,20,0,0,3,235,0,0,0,0,0,0,0,0,0
Педри,Испания,полузащитник,26,0,0,3,237,0,0,0,0,0,0,0,0,0
Аззедин Оунахи,Марокко,полузащитник,8,0,0,3,237,0,0,0,0,0,0,0,0,0
Усман Дембеле,Франция,нападающий,11,0,2,4,239,2,0,0,0,0,0,0,0,0
Бэн Дэвис,Уэльс,защитник,4,0,0,3,239,0,0,0,0,0,0,0,0,0
Эхсан Хаджсафи,Иран,полузащитник,3,0,0,3,239,0,0,0,0,0,0,0,0,0
Нуссаир Мазрауи,Марокко,защитник,3,0,0,3,240,0,0,0,0,0,0,0,0,0
Маркос Акунья,Аргентина,полузащитник,8,0,0,4,240,0,0,0,0,0,1,0,0,1
Пшемыслав Франковский,Польша,полузащитник,24,0,0,4,241,0,0,0,0,0,1,0,0,1
Дарвин Нуньес,Уругвай,нападающий,11,0,0,3,242,0,0,0,0,0,1,0,0,1
Ашраф Хакими,Марокко,защитник,2,0,1,3,243,1,0,0,0,0,0,0,0,0
Серхио Бускетс,Испания,полузащитник,5,0,0,3,244,0,0,0,0,0,1,0,0,1
Дэвид Раум,Германия,защитник,3,0,1,3,244,1,0,0,0,0,0,0,0,0
Аисса Лэйду,Тунис,полузащитник,14,0,1,3,245,1,0,0,0,0,1,0,0,1
Саша Лукич,Сербия,полузащитник,16,0,0,3,246,0,0,0,0,0,1,0,0,1
Йоаким Мэле,Дания,защитник,5,0,0,3,250,0,0,0,0,0,0,0,0,0
Салис Абдул Самед,Гана,полузащитник,21,0,0,3,251,0,0,0,0,0,0,0,0,0
Селсо Борхес,Коста-Рика,полузащитник,5,0,0,3,251,0,0,0,0,0,1,0,0,1
Дэниел Амарти,Гана,защитник,18,0,0,3,252,0,0,0,0,0,2,0,0,2
Ирвинг Лосано,Мексика,нападающий,22,0,0,3,253,0,0,0,0,0,0,0,0,0
Матиас Оливейра,Уругвай,защитник,16,0,0,3,255,0,0,0,0,0,1,0,0,1
Итан Ампаду,Уэльс,защитник,15,0,0,3,256,0,0,0,0,0,0,0,0,0
Тео Эрнандес,Франция,защитник,22,0,2,3,257,2,0,0,0,0,0,0,0,0
Душан Тадич,Сербия,нападающий,10,0,2,3,258,2,0,0,0,0,0,0,0,0
Джамал Мусиала,Германия,нападающий,14,0,1,3,259,1,0,0,0,0,0,0,0,0
Чон У Ён,Южная Корея,полузащитник,5,0,0,3,259,0,0,0,0,0,1,0,0,1
Кристиан Ромеро,Аргентина,защитник,13,0,0,4,260,0,0,0,0,0,0,0,0,0
Андре-Франк Замбо-Ангисса,Камерун,полузащитник,8,0,1,3,261,1,0,0,0,0,0,0,0,0
Таджон Бьюкенен,Канада,нападающий,11,0,1,3,261,1,0,0,0,0,1,0,0,1
Брайан Овьедо,Коста-Рика,защитник,8,0,0,3,261,0,0,0,0,0,0,0,0,0
Педру Мигел,Катар,защитник,2,0,0,3,263,0,0,0,0,0,0,0,0,0
Хомам Ахмед,Катар,защитник,14,0,0,3,263,0,0,0,0,0,1,0,0,1
Ангело Песьядо,Эквадор,защитник,17,0,1,3,265,1,0,0,0,0,0,0,0,0
Сильван Видмер,Швейцария,защитник,3,0,1,3,266,1,0,0,0,0,1,0,0,1
Аарон Рэмзи,Уэльс,полузащитник,10,0,0,3,267,0,0,0,0,0,1,0,0,1
Никлас Зюле,Германия,защитник,15,0,0,3,269,0,0,0,0,0,0,0,0,0
Хоэль Кэмпбелл,Коста-Рика,нападающий,12,0,0,3,269,0,0,0,0,0,1,0,0,1
Гонсало Плата,Эквадор,нападающий,19,0,0,3,269,0,0,0,0,0,0,0,0,0
Рикардо Родригес,Швейцария,защитник,13,0,0,3,269,0,0,0,0,0,0,0,0,0
Фирас аль-Бурайкан,Саудовская Аравия,нападающий,9,0,1,3,269,1,0,0,0,0,0,0,0,0
Райли Макгри,Австралия,полузащитник,14,0,1,4,269,1,0,0,0,0,0,0,0,0
Кристиан Эриксен,Дания,полузащитник,10,0,0,3,270,0,0,0,0,0,0,0,0,0
Сон Хын Мин,Южная Корея,нападающий,7,0,1,3,270,1,0,0,0,0,0,0,0,0
Федерико Вальверде,Уругвай,полузащитник,15,0,0,3,270,0,0,0,0,0,0,0,0,0
Кевин де Брёйне,Бельгия,полузащитник,7,0,0,3,270,0,0,0,0,0,0,0,0,0
Пьер-Эмиль Хёйбьерг,Дания,полузащитник,23,0,0,3,270,0,0,0,0,0,0,0,0,0
Антонио Рюдигер,Германия,защитник,2,0,0,3,270,0,0,0,0,0,0,0,0,0
Иньяки Уильямс,Гана,нападающий,19,0,0,3,270,0,0,0,0,0,0,0,0,0
Гранит Джака,Швейцария,полузащитник,10,0,0,3,270,0,0,0,0,0,1,0,0,1
Родриго Эрнандес,Испания,полузащитник,16,0,0,3,270,0,0,0,0,0,0,0,0,0
Идрисса Гейе,Сенегал,полузащитник,5,0,0,3,270,0,0,0,0,0,2,0,0,2
Жоау Канселу,Португалия,защитник,20,0,0,3,270,0,0,0,0,0,0,0,0,0
Аксель Витсель,Бельгия,полузащитник,6,0,0,3,270,0,0,0,0,0,0,0,0,0
Томас Парти,Гана,полузащитник,5,0,0,3,270,0,0,0,0,0,0,0,0,0
Йозуа Киммих,Германия,полузащитник,6,0,0,3,270,0,0,0,0,0,1,0,0,1
Мануэль Аканджи,Швейцария,защитник,5,0,0,3,270,0,0,0,0,0,1,0,0,1
Джо Родон,Уэльс,защитник,6,0,0,3,270,0,0,0,0,0,1,0,0,1
Первис Эступиньян,Эквадор,защитник,7,0,0,3,270,0,0,0,0,0,0,0,0,0
Дайо Упамекано,Франция,защитник,18,0,0,3,270,0,0,0,0,0,0,0,0,0
Крис Мефам,Уэльс,защитник,5,0,0,3,270,0,0,0,0,0,1,0,0,1
Хосе Хименес,Уругвай,защитник,2,0,0,3,270,0,0,0,0,0,1,0,0,1
Софьян Амрабат,Марокко,полузащитник,4,0,0,3,270,0,0,0,0,0,1,0,0,1
Никола Миленкович,Сербия,защитник,4,0,0,3,270,0,0,0,0,0,2,0,0,2
Ян Вертонген,Бельгия,защитник,5,0,0,3,270,0,0,0,0,0,0,0,0,0
Хван Ин Бом,Южная Корея,полузащитник,6,0,0,3,270,0,0,0,0,0,0,0,0,0
Тимоти Кастань,Бельгия,защитник,21,0,0,3,270,0,0,0,0,0,0,0,0,0
Тоби Алдервейрелд,Бельгия,защитник,2,0,1,3,270,1,0,0,0,0,0,0,0,0
Монтассар Талби,Тунис,защитник,3,0,0,3,270,0,0,0,0,0,0,0,0,0
Юрриен Тимбер,Нидерланды,защитник,2,0,0,3,270,0,0,0,0,0,0,0,0,0
Йоаким Андерсен,Дания,защитник,2,0,1,3,270,1,0,0,0,0,0,0,0,0
Пьеро Инкапье,Эквадор,защитник,3,0,0,3,270,0,0,0,0,0,0,0,0,0
Акрам Афиф,Катар,нападающий,11,0,0,3,270,0,0,0,0,0,1,0,0,1
Ко Итакура,Япония,защитник,4,0,1,3,270,1,0,0,0,0,2,0,0,2
Стивен Витория,Канада,защитник,5,0,0,3,270,0,0,0,0,0,1,0,0,1
Эктор Морено,Мексика,защитник,15,0,0,3,270,0,0,0,0,0,1,0,0,1
Борна Соса,Хорватия,защитник,19,0,0,3,270,0,0,0,0,0,0,0,0,0
Наиф Агерд,Марокко,защитник,5,0,0,3,270,0,0,0,0,1,0,0,0,0
Хесус Гальярдо,Мексика,полузащитник,23,0,0,3,270,0,0,0,0,0,0,0,0,0
Коллинз Фэ,Камерун,защитник,19,0,0,3,270,0,0,0,0,0,2,0,0,2
Камал Миллер,Канада,защитник,4,0,0,3,270,0,0,0,0,0,1,0,0,1
Элье Скири,Тунис,полузащитник,17,0,0,3,270,0,0,0,0,0,0,0,0,0
Феликс Торрес,Эквадор,защитник,2,0,1,3,270,1,0,0,0,0,0,0,0,0
Нуху Толо,Камерун,защитник,25,0,0,3,270,0,0,0,0,0,1,0,0,1
Алистэр Джонстон,Канада,защитник,2,0,0,3,270,0,0,0,0,0,1,0,0,1
Ким Джинсу,Южная Корея,защитник,3,0,1,3,270,1,0,0,0,0,0,0,0,0
Сесар Монтес,Мексика,защитник,3,0,1,3,270,1,0,0,0,0,0,0,0,0
Оскар Дуарте,Коста-Рика,защитник,6,0,0,3,270,0,0,0,0,0,1,0,0,1
Мохамед Канно,Саудовская Аравия,полузащитник,23,0,0,3,270,0,0,0,0,0,0,0,0,0
Мортеза Пурлиганджи,Иран,защитник,8,0,0,3,270,0,0,0,0,0,1,0,0,1
Маджид Хоссейни,Иран,защитник,19,0,0,3,270,0,0,0,0,0,1,0,0,1
