name,country,role,number,goals,passes,games,minutes,g+p,penalties,doubles,hattrick,autogoals,yellow,doubleYellow,red,fairPlay
Крейг Гудвин,Австралия,нападающий,23,1,1,4,236,2,0,0,0,0,0,0,0,0
Страхиня Павлович,Сербия,защитник,2,1,0,3,236,1,0,0,0,0,2,0,0,2
Юссеф Эн-Несери,Марокко,нападающий,19,1,0,3,244,1,0,0,0,0,0,0,0,0
Эрик Шупо-Мотинг,Камерун,нападающий,13,1,0,3,254,1,0,0,0,0,0,0,0,0
Кейшер Фуллер,Коста-Рика,защитник,4,1,0,3,254,1,0,0,0,0,0,0,0,0
Хаким Зиеш,Марокко,полузащитник,7,1,1,3,256,2,0,0,0,0,0,0,0,0
Ким Ёнгвон,Южная Корея,защитник,19,1,0,3,261,1,0,0,0,0,1,0,0,1
Серж Гнабри,Германия,нападающий,10,1,1,3,264,2,0,0,0,0,0,0,0,0
Мойсес Кайседо,Эквадор,полузащитник,23,1,0,3,269,1,0,0,0,0,1,0,0,1
Ельцин Техеда,Коста-Рика,полузащитник,17,1,1,3,269,2,0,0,0,0,0,0,0,0
Андреас Кристенсен,Дания,защитник,6,1,0,3,270,1,0,0,0,0,1,0,0,1
Альфонсо Дэвис,Канада,нападающий,19,1,0,3,270,1,0,0,0,0,1,0,0,1
Дани Ольмо,Испания,полузащитник,21,1,1,3,270,2,0,0,0,0,0,0,0,0
Ромен Саисс,Марокко,защитник,6,1,0,3,270,1,0,0,0,0,0,0,0,0
Мохаммед Салису,Гана,защитник,4,1,0,3,270,1,0,0,0,0,0,0,0,0
Ремо Фройлер,Швейцария,полузащитник,8,1,0,3,270,1,0,0,0,0,0,0,0,0
Луис Чавес,Мексика,полузащитник,24,1,0,3,270,1,0,0,0,0,0,0,0,0
Митчелл Дюк,Австралия,нападающий,15,1,0,4,274,1,0,0,0,0,1,0,0,1
Адриен Рабьо,Франция,полузащитник,14,1,1,4,297,2,0,0,0,0,0,0,0,0
Харри Кейн,Англия,нападающий,9,1,3,4,314,4,0,0,0,0,0,0,0,0
Кристиан Пулишич,США,полузащитник,10,1,2,4,316,3,0,0,0,0,0,0,0,0
Булае Диа,Сенегал,нападающий,9,1,0,4,320,1,0,0,0,0,1,0,0,1
Тимоти Веа,США,нападающий,21,1,0,4,320,1,0,0,0,0,0,0,0,0
Джуд Беллингем,Англия,полузащитник,22,1,1,4,326,2,0,0,0,0,0,0,0,0
Петр Зелиньский,Польша,полузащитник,20,1,0,4,330,1,0,0,0,0,0,0,0,0
Мэтью Лекки,Австралия,нападающий,7,1,1,4,336,2,0,0,0,0,0,0,0,0
Исмаила Сарр,Сенегал,нападающий,18,1,0,4,345,1,1,0,0,0,0,0,0,0
Френки де Йонг,Нидерланды,полузащитник,21,1,1,4,356,2,0,0,0,0,1,0,0,1
Калиду Кулибали,Сенегал,защитник,3,1,0,4,360,1,0,0,0,0,1,0,0,1
Дензел Думфрис,Нидерланды,защитник,22,1,2,4,360,3,0,0,0,0,0,0,0,0
Дэйли Блинд,Нидерланды,защитник,17,1,1,4,360,2,0,0,0,0,0,0,0,0
Иван Перишич,Хорватия,полузащитник,4,1,2,4,371,3,0,0,0,0,0,0,0,0
Паулу Бенту,Южная Корея,тренер,-,0,0,0,0,0,0,0,0,0,1,0,1,4
Предраг Райкович,Сербия,вратарь,12,0,0,0,0,0,0,0,0,0,1,0,0,1
Юссуфа Мукоко,Германия,нападающий,26,0,0,1,1,0,0,0,0,0,0,0,0,0
Эрай Джёмерт,Швейцария,защитник,18,0,0,1,1,0,0,0,0,0,0,0,0,0
Маттиас Гинтер,Германия,защитник,4,0,0,1,1,0,0,0,0,0,0,0,0,0
Абдул Иссахаку,Гана,нападающий,7,0,0,1,1,0,0,0,0,0,0,0,0,0
Сорба Томас,Уэльс,полузащитник,22,0,0,1,1,0,0,0,0,0,0,0,0,0
Хайтем Асири,Саудовская Аравия,нападающий,25,0,0,1,1,0,0,0,0,0,0,0,0,0
Даниэль Чакон,Коста-Рика,полузащитник,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Рон Уилсон,Коста-Рика,нападающий,24,0,0,1,1,0,0,0,0,0,0,0,0,0
Чо Ю-мин,Южная Корея,полузащитник,24,0,0,1,1,0,0,0,0,0,0,0,0,0
Кевин Родригес,Эквадор,полузащитник,26,0,0,2,2,0,0,0,0,0,0,0,0,0
Камиль Гросицкий,Польша,полузащитник,11,0,0,1,3,0,0,0,0,0,0,0,0,0
Джордан Моррис,США,нападающий,16,0,0,2,3,0,0,0,0,0,0,0,0,0
Хаттан Бахебри,Саудовская Аравия,полузащитник,19,0,1,2,3,1,0,0,0,0,1,0,0,1
Ян Беднарек,Польша,защитник,5,0,0,1,4,0,0,0,0,0,0,0,0,0
Кеннет Тейлор,Нидерланды,полузащитник,24,0,0,1,4,0,0,0,0,0,0,0,0,0
Рохелио Фунес Мори,Мексика,нападающий,11,0,0,1,4,0,0,0,0,0,0,0,0,0
Джером Нгом Мбекели,Камерун,полузащитник,2,0,0,1,4,0,0,0,0,0,0,0,0,0
Нассер аль-Давсари,Саудовская Аравия,полузащитник,24,0,0,1,4,0,0,0,0,0,0,0,0,0
Кристиан Нергор,Дания,полузащитник,15,0,0,1,5,0,0,0,0,0,0,0,0,0
Ахмед Алааэлдин,Катар,нападающий,7,0,0,1,5,0,0,0,0,0,0,0,0,0
Яхья Джабране,Марокко,полузащитник,26,0,0,1,5,0,0,0,0,0,0,0,0,0
Мусаб Хедер,Катар,защитник,13,0,0,1,5,0,0,0,0,0,0,0,0,0
